name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
KR Bakery & Restaurant Kacherippadi,"Kozhikode-Malappuram Bypass, Kacherippadi, Manjeri, Kerala 676121",090207 66786,"https://www.google.com/maps/place/KR+Bakery+%26+Restaurant+Kacherippadi/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba63677bdf10c53:0xe8d8030e57bee7ba!8m2!3d11.1100922!4d76.1188957!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCnJlc3RhdXJhbnSqAUMQASoKIgZiYWtlcnkoADIfEAEiG5qO2uB72-cDEs7dmBSW9MgV0ZZ8eqv41ipJhTISEAIiDmJha2VyeSBtYW5qZXJp4AEA!16s%2Fg%2F12cpf3rvq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",krbakes.com,Restaurant,Food_Businesses,3.6,1897.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:38:40
Yummy cakes at Manjeri,"VIP Rd, Malamkulam, Manjeri, Kerala 676122",099957 26960,"https://www.google.com/maps/place/Yummy+cakes+at+Manjeri/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba63784e0188e15:0x6b442831141ffea6!8m2!3d11.1260588!4d76.1315068!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCWNha2Vfc2hvcKoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11q37hgwtt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",instagram.com,Cake shop,Food_Businesses,4.9,171.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:38:45
HILTON CAKE AND CAFE,"Union Bank Of India, 325/ Falcon Plaza, Manjeri Opposit, Pandikkad Road, Manjeri, Kerala 676122",090376 04587,"https://www.google.com/maps/place/HILTON+CAKE+AND+CAFE/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6372f1c4a95a3:0xd1de3577f290bb31!8m2!3d11.1215555!4d76.1250501!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11s5d0nf_6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",,Bakery and Cake Shop,Food_Businesses,3.9,169.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:38:50
K.R. Bakery & Restaurant manjeri Thurakkal,"KR Bakery junction, Thurakkal, Manjeri, Kerala 676121",090203 04578,"https://www.google.com/maps/place/K.R.+Bakery+%26+Restaurant+manjeri+Thurakkal/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6371b65310281:0x7ab34f8a6a92ac3f!8m2!3d11.1202747!4d76.1082296!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCnJlc3RhdXJhbnSqAUMQASoKIgZiYWtlcnkoADIfEAEiG5qO2uB72-cDEs7dmBSW9MgV0ZZ8eqv41ipJhTISEAIiDmJha2VyeSBtYW5qZXJp4AEA!16s%2Fg%2F11h0g_jsyc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",krbakes.com,Restaurant,Food_Businesses,3.7,1185.0,₹₹,Closes 10:30pm,⋅ Closes 10:30pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:38:55
The Oven Bakes,"VIP Rd, Malamkulam, Manjeri, Kerala 676122",Local Guide · 68 reviews · 604 photos,"https://www.google.com/maps/place/The+Oven+Bakes/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba636624251ee4b:0xb1af853b7d1781d0!8m2!3d11.1237383!4d76.1303435!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11cmxxb4kd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",Claim this business,Bakery and Cake Shop,Food_Businesses,3.8,345.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:00
Nila Bake House,"4479+CXV, Vellarangal, Manjeri, Kerala 676121",098954 46449,"https://www.google.com/maps/place/Nila+Bake+House/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba636774e4f144f:0x27343d4571277c7b!8m2!3d11.1136286!4d76.1198607!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F124ygpsxb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",,Bakery and Cake Shop,Food_Businesses,3.7,42.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:05
Brisk Bakery,"449F+W2F, Vellarangal, Manjeri, Kerala 676123",,"https://www.google.com/maps/place/Brisk+Bakery/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6366532605cbf:0xb328ac6911a5741f!8m2!3d11.1198206!4d76.1225376!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11c4_rys3x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",Claim this business,Bakery and Cake Shop,Food_Businesses,4.2,10.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:10
Cake Studio | Manjeri,"Indira Gandhi Memorial Bus Terminal, Kozhikode-Malappuram Bypass, Kacherippadi, IGBT, Manjeri, Kerala 676121",089439 81313,"https://www.google.com/maps/place/Cake+Studio+%7C+Manjeri/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637a6434da327:0xc1bc79779aa0c49a!8m2!3d11.1099375!4d76.1201875!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCWNha2Vfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd2RYVlFaa3QzRUFFqgFDEAEqCiIGYmFrZXJ5KAAyHxABIhuajtrge9vnAxLO3ZgUlvTIFdGWfHqr-NYqSYUyEhACIg5iYWtlcnkgbWFuamVyaeABAPoBBAgAEBw!16s%2Fg%2F11rq93s2d2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",cakestudio.online,Cake shop,Food_Businesses,3.9,93.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 9:30am Sun,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:15
KR Bakery Pandikad Road Manjeri,"Pandikkad Road, opposite New Bus Stand, Kuthukal, Manjeri, Kerala 676123",094470 04578,"https://www.google.com/maps/place/KR+Bakery+Pandikad+Road+Manjeri/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba636652603e0e3:0x89c84e701ef46b24!8m2!3d11.1204623!4d76.1230261!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCnJlc3RhdXJhbnSqAUMQASoKIgZiYWtlcnkoADIfEAEiG5qO2uB72-cDEs7dmBSW9MgV0ZZ8eqv41ipJhTISEAIiDmJha2VyeSBtYW5qZXJp4AEA!16s%2Fg%2F1hjgxbjn_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",krbakes.com,Restaurant,Food_Businesses,3.6,410.0,₹₹,Closes 10:30pm,⋅ Closes 10:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:21
"KR Bakery & Restaurant Cherani,manjeri","Mysuru - Ooty Road, opp. Samas Electricals & Plumbing, Kozhikkattu Kunnu, Manjeri, Kerala 676123",097450 04578,"https://www.google.com/maps/place/KR+Bakery+%26+Restaurant+Cherani,manjeri/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6379650934447:0xb7173f039f7bf536!8m2!3d11.1349019!4d76.1142654!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCnJlc3RhdXJhbnSqAUMQASoKIgZiYWtlcnkoADIfEAEiG5qO2uB72-cDEs7dmBSW9MgV0ZZ8eqv41ipJhTISEAIiDmJha2VyeSBtYW5qZXJp4AEA!16s%2Fg%2F11sqq7nkm4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",blackkingdom.in,Restaurant,Food_Businesses,3.5,180.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:26
Cafe Al Bacio,"Kozhikode-Malappuram Bypass, Thurakkal, Manjeri, Kerala 676121",075107 68000,"https://www.google.com/maps/place/Cafe+Al+Bacio/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637b5a990b4db:0xa402c68b87b2c41d!8m2!3d11.1202907!4d76.1103994!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCWNha2Vfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydDBRMDFFWkhoU2JrcHFZVlJHTVZVeE9VdFZla1ozVjJ0NFMwMXNSUkFCqgFDEAEqCiIGYmFrZXJ5KAAyHxABIhuajtrge9vnAxLO3ZgUlvTIFdGWfHqr-NYqSYUyEhACIg5iYWtlcnkgbWFuamVyaeABAPoBBAgAEB4!16s%2Fg%2F11fj0jtkvk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",cafealbacio.com,Cake shop,Food_Businesses,4.5,100.0,₹₹,9:30pm,⋅ 9:30pm ⋅ Opens 10am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:31
OGES Bakery,"4499+RXJ, Old Bus Stand Rd, Vellarangal, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/OGES+Bakery/@11.1100922,76.0467979,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6366ffd90eb81:0x712c79b34cc884d8!8m2!3d11.1195859!4d76.1199056!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11cn2mwgq0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1100922, 76.0467979",Claim this business,Bakery and Cake Shop,Food_Businesses,3.2,29.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:36
Cake zone live cake,"Manjeri-Kuttippara – Cherukode-Wandoor Road, Manjeri, Kerala 676122",090379 99119,"https://www.google.com/maps/place/Cake+zone+live+cake/@11.1221992,76.1040643,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637edbcc28c81:0xd36b1c9a36577410!8m2!3d11.1221992!4d76.1761621!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCWNha2Vfc2hvcKoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11qgqdbd50?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1221992, 76.1040643",,Cake shop,Food_Businesses,5.0,76.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:41
Sulthan bakes,"44J6+J2M, Areekode - Manjeri Rd, South Puthalam, Manjeri, Kerala 676123",094964 05909,"https://www.google.com/maps/place/Sulthan+bakes/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6377948f99353:0x59828dc6a81067da!8m2!3d11.1315827!4d76.1100502!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11p4c0dncx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",Claim this business,Bakery and Cake Shop,Food_Businesses,3.9,46.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,,Not Available,,,bakery manjeri,2025-08-09 20:39:46
Olene Canto Bakes (IGBT - Manjeri),"near, IGBT Bus Stand Rd, Kacherippadi, Manjeri, Kerala 676121",0483 297 0668,"https://www.google.com/maps/place/Olene+Canto+Bakes+(IGBT+-+Manjeri)/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba63783577e31e1:0xa4ac2e540da0364a!8m2!3d11.1100793!4d76.119491!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCnJlc3RhdXJhbnSqAUMQASoKIgZiYWtlcnkoADIfEAEiG5qO2uB72-cDEs7dmBSW9MgV0ZZ8eqv41ipJhTISEAIiDmJha2VyeSBtYW5qZXJp4AEA!16s%2Fg%2F11f5q09y0m?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",olenecanto.com,Restaurant,Food_Businesses,3.8,440.0,₹₹,9pm,⋅ 9pm ⋅ Opens 9am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:51
Brown Beans Cafe,"IGBT BYPASS, Thurakkal, Manjeri, Kerala 676121",091882 22233,"https://www.google.com/maps/place/Brown+Beans+Cafe/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6366d7f77607d:0x2c665566164c17e4!8m2!3d11.1194333!4d76.1116931!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBC2NvZmZlZV9zaG9wqgFDEAEqCiIGYmFrZXJ5KAAyHxABIhuajtrge9vnAxLO3ZgUlvTIFdGWfHqr-NYqSYUyEhACIg5iYWtlcnkgbWFuamVyaeABAA!16s%2Fg%2F11fy85w416?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",brownbeans.in,Coffee shop,Food_Businesses,4.3,1047.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:39:56
Sign Laban,"Rajiv Gandhi Bypass, Karuvambram, Manjeri, Kerala 676121",,"https://www.google.com/maps/place/Sign+Laban/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637007e78d7c7:0xf8d8262e6ce699fc!8m2!3d11.1234264!4d76.1144198!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11x5r1l1sk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",,Bakery and Cake Shop,Food_Businesses,4.3,44.0,₹₹,Closes 1am,⋅ Closes 1am,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:40:01
Sugary treats,"Panayi, Soudippadi, Manjeri, Kerala 676509",089430 78605,"https://www.google.com/maps/place/Sugary+treats/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba6356fce626a37:0x65582d425821bf34!8m2!3d11.0830133!4d76.1075955!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBCWNha2Vfc2hvcKoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11mb5x8cy8?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",,Cake shop,Food_Businesses,5.0,58.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,Yes,No,Yes,No,Unknown,Unknown,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:40:06
sweets land wholesale & retail bakery in manjeri,"kavalangad, Manjeri, Kerala 676122",,"https://www.google.com/maps/place/sweets+land+wholesale+%26+retail+bakery+in+manjeri/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637382f1d8667:0xac45ee7c627388d9!8m2!3d11.1136509!4d76.1360003!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11yfcz0k3z?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",,Bakery and Cake Shop,Food_Businesses,3.5,2.0,₹₹,Closes 10pm,Open ⋅ Closes 10pm,No,No,Yes,Yes,No,No,Unknown,Unknown,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:40:12
SAFA BAKERY,"Parakkal Building, 11/83, Manjeri To Elankur, Koomankulam, Road, Manjeri, Kerala 676123",096565 38805,"https://www.google.com/maps/place/SAFA+BAKERY/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba637ee65b9300f:0xe971c28ad969f6c8!8m2!3d11.1421375!4d76.1347278!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBBmJha2VyeaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQA!16s%2Fg%2F11v0p7p145?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",,Bakery and Cake Shop,Food_Businesses,4.3,25.0,₹₹,,,No,Yes,No,No,Yes,No,Unknown,Unknown,"·

Takeaway
",takeaway,,,Not Available,,,bakery manjeri,2025-08-09 20:40:17
Golden Bakery & Halwa Stall,"city tower, Kuthukal, Manjeri, Kerala 676123",097463 10555,"https://www.google.com/maps/place/Golden+Bakery+%26+Halwa+Stall/@11.1315827,76.0379524,13z/data=!4m11!1m3!2m2!1sbakery+manjeri!6e5!3m6!1s0x3ba636655b065b47:0x6af061667c06e1ed!8m2!3d11.1204646!4d76.1209571!15sCg5iYWtlcnkgbWFuamVyaVoQIg5iYWtlcnkgbWFuamVyaZIBEHdob2xlc2FsZV9iYWtlcnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUkphVXh1TVdKbkVBRaoBQxABKgoiBmJha2VyeSgAMh8QASIbmo7a4Hvb5wMSzt2YFJb0yBXRlnx6q_jWKkmFMhIQAiIOYmFrZXJ5IG1hbmplcmngAQD6AQQIABAf!16s%2Fg%2F11g72cb_38?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+manjeri,"11.1315827, 76.0379524",,Wholesale bakery,Food_Businesses,4.7,3.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,No,No,No,No,Unknown,Unknown,None Found,,,1.0,Not Available,,,bakery manjeri,2025-08-09 20:40:22
